siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing
01M01,2021-06-07,6,N01B,-5.93,-37.17,10.27,-0.43,373.91,28.31,1.97,16.62,-96.577021,39.086665000000004,TRUE
01M01,2021-08-09,8,N01B,0.18,2.38,0.94,-9.33,373.91,28.31,1.97,16.62,-96.577021,39.086665000000004,FALSE
01M02,2021-06-07,6,N01B,-5.94,-37.21,10.31,-0.39,375.43,27.88,6.79,15.36,-96.576332,39.086288,TRUE
01M02,2021-07-13,7,N01B,-6.13,-38.39,10.65,-0.06,375.43,27.88,6.79,15.36,-96.576332,39.086288,TRUE
01M03,2021-06-07,6,N01B,-5.75,-36.41,9.59,-1.09,378.81,26,4.62,15.68,-96.575936,39.084711,TRUE
01M04,2021-06-07,6,N01B,-5.79,-36.59,9.73,-0.96,381.78,24.7,3.51,15.9,-96.5751011,39.08357235,TRUE
01M05,2021-06-07,6,N01B,-5.81,-36.79,9.69,-1,384.71,19.88,2.67,15.96,-96.574188,39.082643,TRUE
01M05,2021-07-13,7,N01B,-5.59,-35.86,8.86,-1.81,384.71,19.88,2.67,15.96,-96.574188,39.082643,FALSE
01M05,2021-08-09,8,N01B,-5.19,-32.64,8.88,-1.76,384.71,19.88,2.67,15.96,-96.574188,39.082643,FALSE
01M06,2021-06-07,6,N01B,-5.77,-36.4,9.76,-0.92,394.22,10.56,1.75,15.75,-96.571582,39.080649,TRUE
02M01,2021-06-07,6,N02B,-5.78,-36.42,9.82,-0.86,353.35,24.15,0.69,17.51,-96.58815,39.09187,TRUE
02M02,2021-06-07,6,N02B,-5.8,-36.55,9.85,-0.84,356.27,23.73,1.46,16.74,-96.58832556,39.09084425,TRUE
02M03,2021-06-07,6,N02B,-5.83,-36.58,10.06,-0.63,358.5,20.35,2.81,15.93,-96.58859,39.08991,TRUE
02M04,2021-06-07,6,N02B,-5.9,-37.08,10.12,-0.57,364.22,18.99,2.39,16.02,-96.589642,39.088242,TRUE
02M05,2021-06-07,6,N02B,-5.89,-37.18,9.94,-0.75,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,TRUE
02M05,2021-07-13,7,N02B,-5.78,-36.94,9.3,-1.38,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,FALSE
02M05,2021-08-09,8,N02B,-5.84,-36.71,10.01,-0.68,367.76,17.78,1.63,16.34,-96.59082413,39.08698067,TRUE
02M06,2021-06-07,6,N02B,-5.9,-36.87,10.33,-0.36,369.41,15.69,3.55,15.44,-96.591427,39.087237,TRUE
02M06,2021-08-09,8,N02B,-1.47,-12.17,-0.41,-10.79,369.41,15.69,3.55,15.44,-96.591427,39.087237,FALSE
02M07,2021-06-07,6,N02B,-5.9,-36.99,10.21,-0.48,373.3,14.13,3.81,15.26,-96.59252,39.08648,TRUE
02M07,2021-07-13,7,N02B,-5.93,-37.57,9.87,-0.83,373.3,14.13,3.81,15.26,-96.59252,39.08648,TRUE
02M07,2021-08-09,8,N02B,-2.17,-17.99,-0.63,-11.06,373.3,14.13,3.81,15.26,-96.59252,39.08648,FALSE
02M08,2021-06-07,6,N02B,-5.93,-37.18,10.26,-0.44,376.87,12.97,1.79,15.93,-96.592913,39.085573,TRUE
02M10,2021-06-07,6,N02B,-5.92,-37.08,10.28,-0.41,387.22,6.15,5.14,14.13,-96.59357,39.08251,TRUE
02M10,2021-07-13,7,N02B,-5.57,-35.54,9.02,-1.65,387.22,6.15,5.14,14.13,-96.59357,39.08251,FALSE
02M11,2021-06-07,6,N02B,-5.92,-37.14,10.22,-0.47,401.54,2.67,1.42,14.58,-96.593682,39.079249,TRUE
02M11,2021-07-13,7,N02B,-5.58,-35.42,9.22,-1.45,401.54,2.67,1.42,14.58,-96.593682,39.079249,FALSE
04M01,2021-06-07,6,N04D,-5.92,-37.15,10.21,-0.48,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE
04M01,2021-07-13,7,N04D,-5.82,-36.99,9.57,-1.12,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE
04M01,2021-08-09,8,N04D,-4.64,-29.25,7.87,-2.73,355.16,39.76,4.5,16.13,-96.586195,39.089842,FALSE
04M02,2021-06-07,6,N04D,-5.96,-38,9.68,-1.02,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE
04M02,2021-07-13,7,N04D,-5.7,-36.3,9.3,-1.38,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE
04M02,2021-08-09,8,N04D,-5.1,-32.4,8.4,-2.24,362.07,30.21,4.06,15.96,-96.58481,39.08775,FALSE
04M03,2021-06-07,6,N04D,-5.93,-37.27,10.17,-0.53,364.99,29.3,0.68,17.71,-96.58366,39.08685,TRUE
04M03,2021-07-13,7,N04D,-5.49,-35.46,8.46,-2.2,364.99,29.3,0.68,17.71,-96.58366,39.08685,TRUE
04M03,2021-08-09,8,N04D,-4.88,-30.98,8.06,-2.56,364.99,29.3,0.68,17.71,-96.58366,39.08685,FALSE
04M04,2021-06-07,6,N04D,-5.91,-37.19,10.09,-0.6,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE
04M04,2021-07-13,7,N04D,-5.79,-36.67,9.65,-1.04,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE
04M04,2021-08-09,8,N04D,-5.56,-35.13,9.35,-1.32,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE
04M05,2021-06-07,6,N04D,-5.9,-37.45,9.75,-0.94,370.06,23.87,2.58,16.17,-96.5831,39.08502,TRUE
04M05,2021-07-13,7,N04D,-6,-38.4,9.6,-1.1,370.06,23.87,2.58,16.17,-96.5831,39.08502,TRUE
04M05,2021-08-09,8,N04D,-5.8,-36.4,10,-0.69,370.06,23.87,2.58,16.17,-96.5831,39.08502,FALSE
04M06,2021-06-07,6,N04D,-5.94,-37.33,10.19,-0.51,372.05,23.33,4.31,15.64,-96.58342,39.084258,TRUE
