siteID,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat
01M01,373.91,28.31,1.97,16.62,-96.577021,39.086665000000004
01M02,375.43,27.88,6.79,15.36,-96.576332,39.086288
01M03,378.81,26,4.62,15.68,-96.575936,39.084711
01M04,381.78,24.7,3.51,15.9,-96.5751011,39.08357235
01M05,384.71,19.88,2.67,15.96,-96.574188,39.082643
01M06,394.22,10.56,1.75,15.75,-96.571582,39.080649
02M01,353.35,24.15,0.69,17.51,-96.58815,39.09187
02M02,356.27,23.73,1.46,16.74,-96.58832556,39.09084425
02M03,358.5,20.35,2.81,15.93,-96.58859,39.08991
02M04,364.22,18.99,2.39,16.02,-96.589642,39.088242
02M05,367.76,17.78,1.63,16.34,-96.59082413,39.08698067
02M06,369.41,15.69,3.55,15.44,-96.591427,39.087237
02M07,373.3,14.13,3.81,15.26,-96.59252,39.08648
02M08,376.87,12.97,1.79,15.93,-96.592913,39.085573
02M09,379.95,9.89,4.45,14.75,-96.59339,39.08482
02M10,387.22,6.15,5.14,14.13,-96.59357,39.08251
02M11,401.54,2.67,1.42,14.58,-96.593682,39.079249
04M01,355.16,39.76,4.5,16.13,-96.586195,39.089842
04M02,362.07,30.21,4.06,15.96,-96.58481,39.08775
04M03,364.99,29.3,0.68,17.71,-96.58366,39.08685
04M04,367.72,28.41,4.05,15.9,-96.58345,39.08576
04M05,370.06,23.87,2.58,16.17,-96.5831,39.08502
04M06,372.05,23.33,4.31,15.64,-96.58342,39.084258
04M07,376.43,15.15,0.52,17.33,-96.58253,39.08278
04M08,380.31,13.89,3.1,15.45,-96.58221,39.08131
04M09,384.88,8.47,2.92,15.02,-96.581629,39.079941
04M10,393.94,6.59,2.62,14.87,-96.58289,39.077433
04M11,404.72,2.88,3.46,13.77,-96.583835,39.074718
04M12,407.25,2.25,1.46,14.39,-96.584063,39.073158
04M13,407.25,2.25,1.46,14.39,-96.584299,39.070814
04T01,379.6,6.65,3.28,14.66,-96.584301,39.082362
04T02,386.72,3.7,2.59,14.31,-96.580865,39.079765
04W01,360.57,7.62,3.5,14.73,-96.58543,39.08816
04W02,370.89,6.11,4.75,14.2,-96.58691,39.08611
04W03,382.26,4.2,5.58,13.67,-96.58803867,39.08385954
04W04,390.92,2.98,3.88,13.69,-96.58868,39.08228
20M01,371.05,18.95,7.48,14.88,-96.57694,39.08838
20M02,378.93,16.32,2.04,16.03,-96.5737,39.08921
20M03,385.96,9.09,1.64,15.66,-96.57178,39.08822
20M04,389.8,8.61,1.98,15.42,-96.57111,39.08709
20M05,401,5.44,6.92,13.71,-96.568,39.086
SFM01,350.81,132.69,1.48,18.45,-96.587193,39.092281
SFM02,352.75,107.68,2.85,17.58,-96.58632,39.09126
SFM03,353.39,67.33,4.67,16.62,-96.58605,39.09095
SFM04,356.14,60.91,0.53,18.69,-96.5844,39.09089
SFM05,361.07,58.67,2.98,16.93,-96.58186,39.09019
SFM06,365.22,51.01,2.66,16.9,-96.57941,39.0895
SFM07,367.35,49.91,1.37,17.55,-96.578458,39.088683
SFT01,356.84,4.51,5.29,13.79,-96.58517,39.09185
SFT02,372.47,4.83,3.58,14.25,-96.57852,39.09105
