sampleID,siteID,watershed,month,date,d18OWater,d2HWater,yday,replicate,dexcess,lcexcess,TWI,ContributingArea_ha,Elevation_m,Slope_prc,long,lat
WAIS_01M01_1_RAW_20210607,01M01,N01B,Jun,2021-06-07,-5.93,-37.17,158,1,10.27,-0.42,16.6185398101807,28.3099,373.909790039062,1.96598646176319,-96.577021,39.086665000000004
WAIS_01M01_1_RAW_20210809,01M01,N01B,Aug,2021-08-09,0.18,2.38,221,1,0.77,-9.5,16.6185398101807,28.3099,373.909790039062,1.96598646176319,-96.577021,39.086665000000004
WAIS_01M02_1_RAW_20210607,01M02,N01B,Jun,2021-06-07,-5.94,-37.21,158,1,10.31,-0.38,15.3593635559082,27.8823,375.425323486328,6.79131327740862,-96.576332,39.086288
WAIS_01M02_1_RAW_20210713,01M02,N01B,Jul,2021-07-13,-6.13,-38.39,194,1,10.65,-0.05,15.3593635559082,27.8823,375.425323486328,6.79131327740862,-96.576332,39.086288
WAIS_01M03_1_RAW_20210607,01M03,N01B,Jun,2021-06-07,-5.75,-36.41,158,1,9.59,-1.08,15.6769094467163,25.997,378.814392089844,4.62101462346599,-96.575936,39.084711
WAIS_01M04_1_RAW_20210607,01M04,N01B,Jun,2021-06-07,-5.79,-36.59,158,1,9.73,-0.95,15.9005174636841,24.7026,381.780731201172,3.51433664873022,-96.5751011,39.08357235
WAIS_01M05_1_RAW_20210607,01M05,N01B,Jun,2021-06-07,-5.81,-36.79,158,1,9.69,-0.99,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643
WAIS_01M05_1_RAW_20210713,01M05,N01B,Jul,2021-07-13,-5.59,-35.86,194,1,8.86,-1.8,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643
WAIS_01M05_1_RAW_20210809,01M05,N01B,Aug,2021-08-09,-5.19,-32.64,221,1,8.88,-1.76,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643
WAIS_01M06_1_RAW_20210607,01M06,N01B,Jun,2021-06-07,-5.77,-36.4,158,1,9.76,-0.92,15.7502880096436,10.5589,394.224090576172,1.74732466454152,-96.571582,39.080649
WAIS_02M01_1_RAW_20210607,02M01,N02B,Jun,2021-06-07,-5.78,-36.42,158,1,9.82,-0.86,17.5062637329102,24.1532,353.349395751953,0.690609994150927,-96.58815,39.09187
WAIS_02M02_1_RAW_20210607,02M02,N02B,Jun,2021-06-07,-5.8,-36.55,158,1,9.85,-0.83,16.7412509918213,23.732,356.274871826172,1.45800846603901,-96.58832556,39.09084425
WAIS_02M03_1_RAW_20210607,02M03,N02B,Jun,2021-06-07,-5.83,-36.58,158,1,10.06,-0.62,15.9315042495728,20.3529,358.495635986328,2.80844838739997,-96.58859,39.08991
WAIS_02M04_1_RAW_20210607,02M04,N02B,Jun,2021-06-07,-5.9,-37.08,158,1,10.12,-0.56,16.0222511291504,18.9885,364.215728759766,2.39339935503844,-96.589642,39.088242
WAIS_02M05_1_RAW_20210607,02M05,N02B,Jun,2021-06-07,-5.89,-37.18,158,1,9.94,-0.74,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067
WAIS_02M05_1_RAW_20210713,02M05,N02B,Jul,2021-07-13,-5.78,-36.94,194,1,8.82,-1.85,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067
WAIS_02M05_1_RAW_20210809,02M05,N02B,Aug,2021-08-09,-5.84,-36.71,221,1,10.01,-0.67,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067
