"siteID","watershed","month","date","d18OWater","d2HWater","yday","dexcess","lcexcess","TWI","ContributingArea_ha","Elevation_m","Slope_prc","long","lat","s1","s2","s1_rhat","s2_rhat","s1_n.eff","s2_n.eff"
"01M01","N01B","Jun",2021-06-07,-5.93,-37.17,158,10.27,-0.42,16.6185398101807,28.3099,373.909790039062,1.96598646176319,-96.577021,39.086665,59.1576525846131,40.8423474153869,1.00300350820314,1.01078848971499,910,290
"01M01","N01B","Aug",2021-08-09,0.18,2.38,221,0.77,-9.5,16.6185398101807,28.3099,373.909790039062,1.96598646176319,-96.577021,39.086665,61.97849229569,38.02150770431,1.02513048611772,1.0117649309213,160,180
"01M02","N01B","Jun",2021-06-07,-5.94,-37.21,158,10.31,-0.38,15.3593635559082,27.8823,375.425323486328,6.79131327740862,-96.576332,39.086288,59.472309832166,40.527690167834,1.00790254719856,1.00611449977758,750,4500
"01M02","N01B","Jul",2021-07-13,-6.13,-38.39,194,10.65,-0.05,15.3593635559082,27.8823,375.425323486328,6.79131327740862,-96.576332,39.086288,52.9771597474539,47.0228402525461,1.00103121331292,1.01053684669483,7500,810
"01M03","N01B","Jun",2021-06-07,-5.75,-36.41,158,9.59,-1.08,15.6769094467163,25.997,378.814392089844,4.62101462346599,-96.575936,39.084711,53.8978361767683,46.1021638232317,1.0138363333756,1.00762353353925,280,580
"01M04","N01B","Jun",2021-06-07,-5.79,-36.59,158,9.73,-0.95,15.9005174636841,24.7026,381.780731201172,3.51433664873022,-96.5751011,39.08357235,59.2707599978044,40.7292400021956,1.00467777834293,1.00414985121846,690,600
"01M05","N01B","Jun",2021-06-07,-5.81,-36.79,158,9.69,-0.99,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643,58.3037271542601,41.6962728457399,1.00239110227567,1.00113258687933,6300,6000
"01M05","N01B","Jul",2021-07-13,-5.59,-35.86,194,8.86,-1.8,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643,52.1375500666147,47.8624499333853,1.00802351082393,1.00537115186102,440,550
"01M05","N01B","Aug",2021-08-09,-5.19,-32.64,221,8.88,-1.76,15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643,48.5481212822208,51.4518787177792,1.01359865966854,1.01665705737853,220,190
"01M06","N01B","Jun",2021-06-07,-5.77,-36.4,158,9.76,-0.92,15.7502880096436,10.5589,394.224090576172,1.74732466454152,-96.571582,39.080649,56.9201320663507,43.0798679336493,1.02279352461772,1.01903275805192,160,140
"02M01","N02B","Jun",2021-06-07,-5.78,-36.42,158,9.82,-0.86,17.5062637329102,24.1532,353.349395751953,0.690609994150927,-96.58815,39.09187,57.6635502192972,42.3364497807028,1.00097885460957,1.00133434821887,7500,3700
"02M02","N02B","Jun",2021-06-07,-5.8,-36.55,158,9.85,-0.83,16.7412509918213,23.732,356.274871826172,1.45800846603901,-96.58832556,39.09084425,59.8858011990935,40.1141988009065,1.03298639925857,1.00426656871821,180,580
"02M03","N02B","Jun",2021-06-07,-5.83,-36.58,158,10.06,-0.62,15.9315042495728,20.3529,358.495635986328,2.80844838739997,-96.58859,39.08991,58.3584497553688,41.6415502446312,1.00752907280237,1.00923580866707,390,290
"02M04","N02B","Jun",2021-06-07,-5.9,-37.08,158,10.12,-0.56,16.0222511291504,18.9885,364.215728759766,2.39339935503844,-96.589642,39.088242,57.9087266288103,42.0912733711897,1.00209445078246,1.00102058845171,3000,7500
"02M05","N02B","Jun",2021-06-07,-5.89,-37.18,158,9.94,-0.74,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067,56.5612711156118,43.4387288843882,1.01559007899662,1.01409961599305,220,230
"02M05","N02B","Jul",2021-07-13,-5.78,-36.94,194,8.82,-1.85,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067,49.5092842419307,50.4907157580693,1.03066162899754,1.01606008774119,98,200
"02M05","N02B","Aug",2021-08-09,-5.84,-36.71,221,10.01,-0.67,16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067,43.5210062909078,56.4789937090922,1.00384248638432,1.01148909413352,780,280
"02M06","N02B","Jun",2021-06-07,-5.9,-36.87,158,10.33,-0.35,15.435941696167,15.6919,369.406402587891,3.552439129378,-96.591427,39.087237,59.615176067862,40.384823932138,1.01992872661411,1.01650764142316,210,190
"02M06","N02B","Aug",2021-08-09,-1.47,-12.17,221,-0.32,-10.7,15.435941696167,15.6919,369.406402587891,3.552439129378,-96.591427,39.087237,49.1716310898943,50.8283689101057,1.0048126903687,1.02283962818606,2800,250
"02M07","N02B","Jun",2021-06-07,-5.9,-36.99,158,10.21,-0.47,15.2601690292358,14.1328,373.296539306641,3.81356831268082,-96.59252,39.08648,57.7553875859999,42.2446124140001,1.01539122525734,1.00685221027437,310,2500
"02M07","N02B","Jul",2021-07-13,-5.93,-37.57,194,9.87,-0.82,15.2601690292358,14.1328,373.296539306641,3.81356831268082,-96.59252,39.08648,54.1204508142402,45.8795491857598,1.01536781363964,1.00748314994156,170,300
"02M07","N02B","Aug",2021-08-09,-2.17,-17.99,221,1.22,-9.23,15.2601690292358,14.1328,373.296539306641,3.81356831268082,-96.59252,39.08648,39.5898677481936,60.4101322518063,1.01941784244189,1.04460697414123,140,72
"02M08","N02B","Jun",2021-06-07,-5.93,-37.18,158,10.26,-0.43,15.9329080581665,12.9671,376.867004394531,1.78764145530976,-96.592913,39.085573,61.3535530332975,38.6464469667025,1.05977025256935,1.01341101671943,85,160
"02M10","N02B","Jun",2021-06-07,-5.92,-37.08,158,10.28,-0.41,14.1281938552856,6.1497,387.223388671875,5.14093522350631,-96.59357,39.08251,56.2385270641009,43.7614729358991,1.00264459937552,1.00483420641262,5000,970
"02M10","N02B","Jul",2021-07-13,-5.57,-35.54,194,9.02,-1.64,14.1281938552856,6.1497,387.223388671875,5.14093522350631,-96.59357,39.08251,52.4242903873235,47.5757096126765,1.00413924000449,1.00560616905032,600,420
"02M11","N02B","Jun",2021-06-07,-5.92,-37.14,158,10.22,-0.47,14.5844211578369,2.6741,401.544860839844,1.42006358225935,-96.593682,39.079249,58.5717685496273,41.4282314503726,1.03794032084098,1.04464275102994,72,55
