spring,lat,lon
04S01,39.08518,-96.582
04S02,39.08481,-96.5823
04S03,39.0841,-96.5835
04S04,39.08125,-96.5822
04S05,39.0811,-96.5818
04S06,39.08497,-96.5818
04S07,39.08367,-96.5822
04S08,39.08361,-96.5822
04WS1,39.08386,-96.588
04WS2,39.08244,-96.5887
04WS3,39.08228,-96.5886
04WS4,39.08222,-96.5887
02S01,39.08689,-96.5908
02S02,39.08647,-96.5925
02S03,39.08468,-96.5935
02S04,39.08195,-96.5935
02S05,39.07907,-96.5939
02S06,39.07907,-96.5934
01S01,39.08249,-96.5741
SFKC1,39.09983,-96.5906
SFKC2,39.0988,-96.5899
SFKC3,39.09712,-96.5882
SFKC4,39.09538,-96.5892
