siteID,datetime,date,water_level_masl,temp_c
Mor 4-6,2020-10-01T00:04:48Z,2020-10-01,363.774,13.566
Mor 4-6,2020-10-01T00:09:48Z,2020-10-01,363.7733,13.566
Mor 4-6,2020-10-01T00:14:48Z,2020-10-01,363.7723,13.565
Mor 4-6,2020-10-01T00:19:48Z,2020-10-01,363.7721,13.565
Mor 4-6,2020-10-01T00:24:48Z,2020-10-01,363.773,13.565
Mor 4-6,2020-10-01T00:29:48Z,2020-10-01,363.7729,13.566
Mor 4-6,2020-10-01T00:34:48Z,2020-10-01,363.772,13.565
Mor 4-6,2020-10-01T00:39:48Z,2020-10-01,363.7724,13.565
Mor 4-6,2020-10-01T00:44:48Z,2020-10-01,363.7734,13.565
Mor 4-6,2020-10-01T00:49:48Z,2020-10-01,363.7732,13.565
Mor 4-6,2020-10-01T00:54:48Z,2020-10-01,363.7731,13.565
Mor 4-6,2020-10-01T00:59:48Z,2020-10-01,363.7735,13.565
Mor 4-6,2020-10-01T01:04:48Z,2020-10-01,363.7744,13.565
Mor 4-6,2020-10-01T01:09:48Z,2020-10-01,363.7738,13.564
Mor 4-6,2020-10-01T01:14:48Z,2020-10-01,363.774,13.565
Mor 4-6,2020-10-01T01:19:48Z,2020-10-01,363.7754,13.564
Mor 4-6,2020-10-01T01:24:48Z,2020-10-01,363.7744,13.565
Mor 4-6,2020-10-01T01:29:48Z,2020-10-01,363.7747,13.564
Mor 4-6,2020-10-01T01:34:48Z,2020-10-01,363.7748,13.564
Mor 4-6,2020-10-01T01:39:48Z,2020-10-01,363.7735,13.564
Mor 4-6,2020-10-01T01:44:48Z,2020-10-01,363.7742,13.564
Mor 4-6,2020-10-01T01:49:48Z,2020-10-01,363.7736,13.564
Mor 4-6,2020-10-01T01:54:48Z,2020-10-01,363.7731,13.564
Mor 4-6,2020-10-01T01:59:48Z,2020-10-01,363.7744,13.564
Mor 4-6,2020-10-01T02:04:48Z,2020-10-01,363.7741,13.563
Mor 4-6,2020-10-01T02:09:48Z,2020-10-01,363.7733,13.563
Mor 4-6,2020-10-01T02:14:48Z,2020-10-01,363.7735,13.563
Mor 4-6,2020-10-01T02:19:48Z,2020-10-01,363.7722,13.563
Mor 4-6,2020-10-01T02:24:48Z,2020-10-01,363.7703,13.563
Mor 4-6,2020-10-01T02:29:48Z,2020-10-01,363.7702,13.563
Mor 4-6,2020-10-01T02:34:48Z,2020-10-01,363.77,13.562
Mor 4-6,2020-10-01T02:39:48Z,2020-10-01,363.7706,13.562
Mor 4-6,2020-10-01T02:44:48Z,2020-10-01,363.7715,13.563
Mor 4-6,2020-10-01T02:49:48Z,2020-10-01,363.7716,13.562
Mor 4-6,2020-10-01T02:54:48Z,2020-10-01,363.7726,13.562
Mor 4-6,2020-10-01T02:59:48Z,2020-10-01,363.7736,13.562
Mor 4-6,2020-10-01T03:04:48Z,2020-10-01,363.774,13.562
Mor 4-6,2020-10-01T03:09:48Z,2020-10-01,363.7742,13.562
Mor 4-6,2020-10-01T03:14:48Z,2020-10-01,363.7734,13.561
Mor 4-6,2020-10-01T03:19:48Z,2020-10-01,363.7726,13.561
Mor 4-6,2020-10-01T03:24:48Z,2020-10-01,363.7727,13.562
Mor 4-6,2020-10-01T03:29:48Z,2020-10-01,363.7722,13.561
Mor 4-6,2020-10-01T03:34:48Z,2020-10-01,363.7727,13.561
Mor 4-6,2020-10-01T03:39:48Z,2020-10-01,363.7733,13.561
Mor 4-6,2020-10-01T03:44:48Z,2020-10-01,363.7733,13.561
Mor 4-6,2020-10-01T03:49:48Z,2020-10-01,363.7733,13.56
Mor 4-6,2020-10-01T03:54:48Z,2020-10-01,363.7736,13.561
Mor 4-6,2020-10-01T03:59:48Z,2020-10-01,363.7736,13.561
Mor 4-6,2020-10-01T04:04:48Z,2020-10-01,363.7731,13.56
Mor 4-6,2020-10-01T04:09:48Z,2020-10-01,363.7718,13.56
Mor 4-6,2020-10-01T04:14:48Z,2020-10-01,363.7702,13.56
Mor 4-6,2020-10-01T04:19:48Z,2020-10-01,363.7694,13.561
Mor 4-6,2020-10-01T04:24:48Z,2020-10-01,363.7691,13.561
Mor 4-6,2020-10-01T04:29:48Z,2020-10-01,363.7683,13.561
Mor 4-6,2020-10-01T04:34:48Z,2020-10-01,363.7696,13.561
Mor 4-6,2020-10-01T04:39:48Z,2020-10-01,363.7701,13.56
Mor 4-6,2020-10-01T04:44:48Z,2020-10-01,363.7711,13.561
Mor 4-6,2020-10-01T04:49:48Z,2020-10-01,363.7713,13.561
Mor 4-6,2020-10-01T04:54:48Z,2020-10-01,363.7715,13.561
Mor 4-6,2020-10-01T04:59:48Z,2020-10-01,363.7727,13.561
Mor 4-6,2020-10-01T05:04:48Z,2020-10-01,363.7719,13.561
Mor 4-6,2020-10-01T05:09:48Z,2020-10-01,363.7713,13.561
Mor 4-6,2020-10-01T05:14:48Z,2020-10-01,363.7713,13.56
Mor 4-6,2020-10-01T05:19:48Z,2020-10-01,363.7693,13.56
Mor 4-6,2020-10-01T05:24:48Z,2020-10-01,363.7699,13.561
Mor 4-6,2020-10-01T05:29:48Z,2020-10-01,363.7692,13.56
Mor 4-6,2020-10-01T05:34:48Z,2020-10-01,363.7697,13.56
Mor 4-6,2020-10-01T05:39:48Z,2020-10-01,363.7687,13.56
Mor 4-6,2020-10-01T05:44:48Z,2020-10-01,363.7694,13.56
Mor 4-6,2020-10-01T05:49:48Z,2020-10-01,363.7685,13.56
Mor 4-6,2020-10-01T05:54:48Z,2020-10-01,363.7711,13.56
Mor 4-6,2020-10-01T05:59:48Z,2020-10-01,363.7698,13.56
Mor 4-6,2020-10-01T06:04:48Z,2020-10-01,363.7697,13.56
Mor 4-6,2020-10-01T06:09:48Z,2020-10-01,363.7686,13.56
Mor 4-6,2020-10-01T06:14:48Z,2020-10-01,363.7685,13.56
Mor 4-6,2020-10-01T06:19:48Z,2020-10-01,363.7687,13.56
Mor 4-6,2020-10-01T06:24:48Z,2020-10-01,363.7679,13.56
Mor 4-6,2020-10-01T06:29:48Z,2020-10-01,363.7668,13.56
Mor 4-6,2020-10-01T06:34:48Z,2020-10-01,363.767,13.559
Mor 4-6,2020-10-01T06:39:48Z,2020-10-01,363.7674,13.56
Mor 4-6,2020-10-01T06:44:48Z,2020-10-01,363.7687,13.56
Mor 4-6,2020-10-01T06:49:48Z,2020-10-01,363.7672,13.56
Mor 4-6,2020-10-01T06:54:48Z,2020-10-01,363.7679,13.559
Mor 4-6,2020-10-01T06:59:48Z,2020-10-01,363.7673,13.56
Mor 4-6,2020-10-01T07:04:48Z,2020-10-01,363.7681,13.56
Mor 4-6,2020-10-01T07:09:48Z,2020-10-01,363.7689,13.56
Mor 4-6,2020-10-01T07:14:48Z,2020-10-01,363.7686,13.559
Mor 4-6,2020-10-01T07:19:48Z,2020-10-01,363.7684,13.56
Mor 4-6,2020-10-01T07:24:48Z,2020-10-01,363.768,13.56
Mor 4-6,2020-10-01T07:29:48Z,2020-10-01,363.7685,13.559
Mor 4-6,2020-10-01T07:34:48Z,2020-10-01,363.7679,13.56
Mor 4-6,2020-10-01T07:39:48Z,2020-10-01,363.7678,13.559
Mor 4-6,2020-10-01T07:44:48Z,2020-10-01,363.7682,13.558
