siteID,date,precip_mm,max_temp_c,min_temp_c,average_temp_c,humidity_pct,solar_radiation_wm2,wind_speed_ms,max_soil_temp_c,min_soil_temp_c,average_soil_temp_c
HQ01,1982-04-22,NA,22.28,11.26,17.27,26.54,3.434,NA,NA,NA,NA
HQ01,1982-04-23,NA,22.23,9.57,14.94,44.59,4.891,NA,NA,NA,NA
HQ01,1982-04-24,NA,18.7,5.569,12.04,70.49,3.087,NA,NA,NA,NA
HQ01,1982-04-25,NA,21.89,4.367,13.49,53.62,6.262,NA,NA,NA,NA
HQ01,1982-04-27,1,15.47,6.309,10.85,61.92,1.997,NA,NA,NA,NA
HQ01,1982-04-28,20,10.17,6.309,7.596,90.69,0.434,NA,NA,NA,NA
HQ01,1982-04-29,NA,13.18,6.309,9.62,90.39,1.58,NA,NA,NA,NA
HQ01,1982-04-30,NA,17.54,9.81,13.33,81.56,2.523,NA,NA,NA,NA
HQ01,1982-05-01,NA,22.23,11.02,15.57,71.67,2.758,NA,NA,NA,NA
HQ01,1982-05-02,NA,25.15,12.72,18.1,64.69,4.03,NA,NA,NA,NA
HQ01,1982-05-03,NA,29.49,15.47,21.79,67.72,4.721,NA,NA,NA,NA
HQ01,1982-05-04,NA,31.64,18.25,24.36,61.85,5.803,NA,NA,NA,NA
HQ01,1982-05-05,14,22.62,8.46,16.08,81.56,1.467,NA,NA,NA,NA
HQ01,1982-05-06,17,15.94,6.544,9.78,80.67,3.587,NA,NA,NA,NA
HQ01,1982-05-07,NA,25.36,7.405,15.96,54.24,6.317,NA,NA,NA,NA
HQ01,1982-05-08,NA,28.32,13.26,20.27,51.64,6.492,NA,NA,NA,NA
HQ01,1982-05-10,NA,28.5,17.63,22.59,53.18,5.113,NA,NA,NA,NA
HQ01,1982-05-12,15,22.43,14.71,17.85,87.68,2.387,NA,NA,NA,NA
HQ01,1982-05-13,1,23.21,16.46,19.07,85.41,3.512,NA,NA,NA,NA
HQ01,1982-05-14,15,22.23,12.6,16.3,88.53,2.773,NA,NA,NA,NA
HQ01,1982-05-15,NA,25.52,12.27,18.5,77.02,6.459,NA,NA,NA,NA
HQ01,1982-05-16,14,22.38,14.55,18.61,75.81,2.744,NA,NA,NA,NA
HQ01,1982-05-17,9,24.68,13.92,17.76,85,4.251,NA,NA,NA,NA
HQ01,1982-05-18,NA,28.73,12.52,21.24,72.03,6.094,NA,NA,NA,NA
HQ01,1982-05-19,NA,28.55,17.37,22.16,79.53,5.937,NA,NA,NA,NA
HQ01,1982-05-20,22,27.87,13.59,19.8,83.51,3.286,NA,NA,NA,NA
HQ01,1982-05-21,NA,24.07,12.32,16.86,83.5,5.19,NA,NA,NA,NA
HQ01,1982-05-22,NA,21.7,10.25,15.33,79.52,3.98,NA,NA,NA,NA
HQ01,1982-05-23,NA,24.99,10.01,18.12,78.83,4.906,NA,NA,NA,NA
HQ01,1982-05-24,21,21.89,15.18,17.83,91.63,2.173,NA,NA,NA,NA
HQ01,1982-05-25,9,24.42,14.17,18.53,89.51,3.165,NA,NA,NA,NA
HQ01,1982-05-26,18,23.46,9.5,15.57,87.62,3.631,NA,NA,NA,NA
HQ01,1982-05-27,NA,27.64,8.94,19.32,75.07,6.805,NA,NA,NA,NA
HQ01,1982-05-28,17,27.64,16.63,20.99,83.77,3.972,NA,NA,NA,NA
HQ01,1982-05-29,NA,27.92,14.71,21.05,83.96,5.009,NA,NA,NA,NA
HQ01,1982-05-30,25,27.31,14.55,19.64,86.56,4.341,NA,NA,NA,NA
HQ01,1982-05-31,12,19.01,4.444,13.71,75.16,3.792,NA,NA,NA,NA
HQ01,1982-06-01,NA,21.89,2.9,13.35,73.12,6.752,NA,NA,NA,NA
HQ01,1982-06-02,3,18.7,11.22,14.15,89.54,2.373,NA,NA,NA,NA
HQ01,1982-06-03,9,18.43,12.15,14.37,91.91,2.067,NA,NA,NA,NA
HQ01,1982-06-04,NA,22.09,12.85,15.69,86.36,3.489,NA,NA,NA,NA
HQ01,1982-06-05,NA,23.76,11.3,18.26,83.46,5.302,NA,NA,NA,NA
HQ01,1982-06-06,NA,32.22,19.69,25.08,81.12,5.086,NA,NA,NA,NA
HQ01,1982-06-07,20,27.42,11.87,21.2,77.28,5.851,NA,NA,NA,NA
HQ01,1982-06-08,8,32.67,19.28,25.79,83.09,5.441,NA,NA,NA,NA
HQ01,1982-06-09,7,23.16,11.22,18.86,79.53,5.58,NA,NA,NA,NA
HQ01,1982-06-10,NA,25.04,5.608,16.68,67.63,6.616,NA,NA,NA,NA
HQ01,1982-06-11,NA,22.62,13.05,16.76,87.5,2.539,NA,NA,NA,NA
HQ01,1982-06-12,NA,26.54,12.23,18.1,78.99,5.386,NA,NA,NA,NA
HQ01,1982-06-13,NA,27.25,14.84,20.23,77.89,4.669,NA,NA,NA,NA
HQ01,1982-06-14,11,29.91,16.85,22.36,83.64,3.861,NA,NA,NA,NA
HQ01,1982-06-15,8,25.1,14.59,19.72,86.16,4.729,NA,NA,NA,NA
HQ01,1982-06-16,NA,25.52,10.01,18.28,69.04,6.894,NA,NA,NA,NA
HQ01,1982-06-17,1,29.19,13.22,20.6,77.7,5.115,NA,NA,NA,NA
HQ01,1982-06-18,NA,25.57,12.6,19.95,84.95,3.983,NA,NA,NA,NA
HQ01,1982-06-19,NA,25.84,10.21,18.78,68.83,6.275,NA,NA,NA,NA
HQ01,1982-06-20,NA,30.39,14.93,21.68,72.44,6.083,NA,NA,NA,NA
HQ01,1982-06-21,12.5,31.01,13.01,19.88,78.18,4.577,NA,NA,NA,NA
HQ01,1982-06-22,NA,27.87,12.07,20.58,77.47,6.171,NA,NA,NA,NA
HQ01,1982-06-23,35.5,26.32,16.03,21.25,84.23,4.317,NA,NA,NA,NA
HQ01,1982-06-24,19,29.25,17.37,22.34,85.62,4.075,NA,NA,NA,NA
HQ01,1982-06-25,NA,26.97,17.85,21.67,87.25,4.14,NA,NA,NA,NA
HQ01,1982-06-26,4,28.15,15.52,21.51,85.87,4.674,NA,NA,NA,NA
HQ01,1982-06-27,3,26.32,18.47,20.99,89.93,2.826,NA,NA,NA,NA
HQ01,1982-06-28,NA,31.64,16.85,23.54,81.1,4.989,NA,NA,NA,NA
HQ01,1982-06-29,NA,35.2,18.47,26.9,72.82,6.137,NA,NA,NA,NA
HQ01,1982-06-30,57,29.31,19.56,24.04,86.78,4.735,NA,NA,NA,NA
HQ01,1982-07-01,8.5,27.14,20.01,22.57,89.02,2.921,NA,NA,NA,NA
HQ01,1982-07-02,NA,34.02,20.2,27.47,74.65,5.76,NA,NA,NA,NA
HQ01,1982-07-03,NA,36.8,21.37,29.25,72.59,6.551,NA,NA,NA,NA
HQ01,1982-07-04,NA,34.57,23.31,29.17,71.77,6.369,NA,NA,NA,NA
HQ01,1982-07-05,NA,32.94,22.38,27.51,73.9,5.051,NA,NA,NA,NA
HQ01,1982-07-06,1,32.48,19.24,26.95,72.02,5.887,NA,NA,NA,NA
HQ01,1982-07-07,NA,30.58,12.64,22.47,69.81,6.262,NA,NA,NA,NA
HQ01,1982-07-08,NA,30.33,15.31,23.78,75.89,4.783,NA,NA,NA,NA
HQ01,1982-07-09,NA,29.79,18.88,24.85,80.96,4.985,NA,NA,NA,NA
HQ01,1982-07-10,37,28.04,16.16,22.29,82.09,5.037,NA,NA,NA,NA
HQ01,1982-07-11,NA,30.7,15.22,23,71.77,6.421,NA,NA,NA,NA
HQ01,1982-07-12,NA,31.9,15.82,23.96,75.54,5.699,NA,NA,NA,NA
HQ01,1982-07-13,NA,32.22,19.01,25.26,77.64,5.335,NA,NA,NA,NA
HQ01,1982-07-14,8.5,32.87,21.66,26.55,77.35,6.032,NA,NA,NA,NA
HQ01,1982-07-15,2,32.94,22.87,27.33,79.27,4.283,NA,NA,NA,NA
HQ01,1982-07-16,NA,35.06,24.37,29.38,69.75,6.237,NA,NA,NA,NA
HQ01,1982-07-17,NA,35.85,24.53,29.94,68.4,6.017,NA,NA,NA,NA
HQ01,1982-07-18,NA,36.14,25.36,30.24,66.7,5.277,NA,NA,NA,NA
HQ01,1982-07-19,NA,33.88,24.02,28.41,71.72,5.126,NA,NA,NA,NA
HQ01,1982-07-20,NA,35.92,22.67,29.6,68.71,6.129,NA,NA,NA,NA
HQ01,1982-07-21,NA,36.5,22.04,28.36,72.83,5.826,NA,NA,NA,NA
HQ01,1982-07-22,33,32.48,19.88,26.13,76.02,5.894,NA,NA,NA,NA
