siteID,date,dpID,type,d18O,d2H
KING,2015-10-06,DP1.20206.001,SW,-5.98,-37.27
KING,2015-10-28,DP1.20206.001,SW,-6.09,-38.33
KING,2015-11-02,DP1.20206.001,SW,-6.11,-38.95
KING,2015-12-02,DP1.20206.001,SW,-4.55,-34.08
KING,2016-01-07,DP1.20206.001,SW,-5.69,-38.3
KING,2016-02-01,DP1.20206.001,SW,-6.3,-40.23
KING,2016-03-01,DP1.20206.001,SW,-6.08,-38.84
KING,2016-03-08,DP1.20206.001,SW,-5.85,-38.33
KING,2016-03-29,DP1.20206.001,SW,-6.15,-39.05
KING,2016-04-05,DP1.20206.001,SW,-5.77,-38.39
KING,2016-04-12,DP1.20206.001,SW,-6.12,-38.9
KING,2016-04-19,DP1.20206.001,SW,-5.48,-37.82
KING,2016-04-26,DP1.20206.001,SW,-6.54,-41.52
KING,2016-05-02,DP1.20206.001,SW,-6.36,-40.6
KING,2016-05-10,DP1.20206.001,SW,-5.94,-39.26
KING,2016-05-17,DP1.20206.001,SW,-6.2,-39.13
KING,2016-05-24,DP1.20206.001,SW,-6.17,-39.51
KING,2016-05-31,DP1.20206.001,SW,-6.17,-39.18
KING,2016-06-07,DP1.20206.001,SW,-6.17,-39.08
KING,2016-06-21,DP1.20206.001,SW,-6.18,-38.95
KING,2016-06-28,DP1.20206.001,SW,-6.15,-38.66
KING,2016-07-05,DP1.20206.001,SW,NA,NA
KING,2016-07-18,DP1.20206.001,SW,-6.13,-38.52
KING,2016-08-02,DP1.20206.001,SW,-5.96,-38.05
KING,2016-08-09,DP1.20206.001,SW,-6.15,-38.53
KING,2016-09-06,DP1.20206.001,SW,-6.08,-38.42
KING,2016-10-04,DP1.20206.001,SW,-6.06,-38.21
KING,2016-10-25,DP1.20206.001,SW,-6.01,-38.34
KING,2016-11-01,DP1.20206.001,SW,NA,NA
KING,2016-12-06,DP1.20206.001,SW,-6.13,-38.89
KING,2017-01-03,DP1.20206.001,SW,-6.05,-38.38
KING,2017-02-07,DP1.20206.001,SW,-5.81,-38.02
KING,2017-03-07,DP1.20206.001,SW,-6.04,-38.44
KING,2017-03-13,DP1.20206.001,SW,-6.06,-38.38
KING,2017-03-28,DP1.20206.001,SW,-6.06,-38.13
KING,2017-04-04,DP1.20206.001,SW,-6.16,-38.91
KING,2017-04-10,DP1.20206.001,SW,-6.18,-39
KING,2017-04-19,DP1.20206.001,SW,-5.99,-38.2
KING,2017-04-27,DP1.20206.001,SW,-6.05,-38.48
KING,2017-05-02,DP1.20206.001,SW,-6.1,-39.13
KING,2017-05-09,DP1.20206.001,SW,-6.14,-39.07
KING,2017-05-17,DP1.20206.001,SW,-6.08,-39.17
KING,2017-05-24,DP1.20206.001,SW,-5.55,-38.58
KING,2017-05-30,DP1.20206.001,SW,-6.26,-39.93
KING,2017-06-06,DP1.20206.001,SW,-6.3,-39.98
KING,2017-06-20,DP1.20206.001,SW,-6.28,-39.81
KING,2017-06-26,DP1.20206.001,SW,-6.27,-39.76
KING,2017-07-05,DP1.20206.001,SW,-5.94,-38.48
KING,2017-07-17,DP1.20206.001,SW,-5.94,-38.46
KING,2017-08-01,DP1.20206.001,SW,-5.96,-38.43
KING,2017-08-09,DP1.20206.001,SW,-5.96,-38.28
KING,2017-09-05,DP1.20206.001,SW,-5.9,-38.06
KING,2017-10-03,DP1.20206.001,SW,-4.8,-32.67
KING,2017-11-01,DP1.20206.001,SW,-5.91,-38.66
KING,2017-11-08,DP1.20206.001,SW,-6.01,-38.7
KING,2017-12-05,DP1.20206.001,SW,-5.9,-37.66
KING,2018-01-02,DP1.20206.001,SW,-6.76,-43.09
KING,2018-02-07,DP1.20206.001,SW,-6.59,-41.63
KING,2018-03-05,DP1.20206.001,SW,-6.03,-37.83
KING,2018-03-07,DP1.20206.001,SW,-6.08,-38.18
KING,2018-03-28,DP1.20206.001,SW,-6.13,-38.53
KING,2018-04-03,DP1.20206.001,SW,-6.11,-38.39
KING,2018-04-10,DP1.20206.001,SW,-6.05,-38.46
KING,2018-04-16,DP1.20206.001,SW,-6.05,-38.53
KING,2018-04-23,DP1.20206.001,SW,-6.08,-38.89
KING,2018-05-07,DP1.20206.001,SW,-6.19,-39.04
KING,2018-05-09,DP1.20206.001,SW,-6.18,-38.02
